,id,price,quoteQty,isBestMatch,qty,isBuyerMaker,pricepct,pricesign,target
10027,163641587,95.39,697.3009,True,7.31,False,0.0,0.0,-1.0
10026,163641588,95.39,2562.1754,True,26.86,False,0.0,0.0,-1.0
10025,163641589,95.39,1856.2894,True,19.46,False,0.0,0.0,-1.0
10024,163641590,95.39,399.6841,True,4.19,False,0.0,0.0,-1.0
10023,163641591,95.39,4095.0927,True,42.93,False,0.0,0.0,-1.0
10022,163641592,95.4,2570.076,True,26.94,False,0.00010483279169726245,1.0,1.0
10021,163641593,95.4,2866.77,True,30.05,False,0.0,0.0,1.0
10020,163641594,95.4,1228.752,True,12.88,False,0.0,0.0,1.0
10019,163641595,95.4,1735.326,True,18.19,False,0.0,0.0,1.0
10018,163641596,95.4,2467.998,True,25.87,False,0.0,0.0,1.0
10017,163641597,95.4,235.638,True,2.47,False,0.0,0.0,1.0
10016,163641598,95.4,2715.084,True,28.46,False,0.0,0.0,1.0
10015,163641599,95.4,2272.428,True,23.82,False,0.0,0.0,1.0
10014,163641600,95.4,2499.48,True,26.2,True,0.0,0.0,1.0
10013,163641601,95.41,2261.217,True,23.7,False,0.00010482180293491794,1.0,1.0
10012,163641602,95.41,324.394,True,3.4,False,0.0,0.0,1.0
10011,163641603,95.4,236.592,True,2.48,True,-0.00010481081647617518,-1.0,-1.0
10010,163641604,95.4,286.2,True,3.0,True,0.0,0.0,-1.0
10009,163641605,95.4,157.41,True,1.65,True,0.0,0.0,-1.0
10008,163641606,95.41,3982.4134,True,41.74,False,0.00010482180293491794,1.0,1.0
10007,163641607,95.41,2079.938,True,21.8,False,0.0,0.0,1.0
10006,163641608,95.41,486.591,True,5.1,False,0.0,0.0,1.0
10005,163641609,95.42,458.9702,True,4.81,False,0.0001048108164762862,1.0,1.0
10004,163641610,95.42,709.9248,True,7.44,False,0.0,0.0,1.0
10003,163641611,95.42,954.2,True,10.0,False,0.0,0.0,1.0
10002,163641612,95.42,95.42,True,1.0,False,0.0,0.0,1.0
10001,163641613,95.42,3757.6396,True,39.38,False,0.0,0.0,1.0
10000,163641614,95.43,549.6768,True,5.76,True,0.00010479983232025702,1.0,1.0
9999,163641615,95.43,1949.6349,True,20.43,True,0.0,0.0,1.0
9998,163641616,95.44,11.4528,True,0.12,False,0.00010478885046616426,1.0,1.0
9997,163641617,95.43,97.3386,True,1.02,True,-0.00010477787091356383,-1.0,-1.0
9996,163641618,95.43,11.4516,True,0.12,True,0.0,0.0,-1.0
9995,163641619,95.42,136.4506,True,1.43,True,-0.00010478885046638631,-1.0,-1.0
9994,163641620,95.41,149.7937,True,1.57,True,-0.00010479983232036805,-1.0,-1.0
9993,163641621,95.41,766.1423,True,8.03,True,0.0,0.0,-1.0
9992,163641622,95.41,47.705,True,0.5,True,0.0,0.0,-1.0
9991,163641623,95.4,2499.48,True,26.2,True,-0.00010481081647617518,-1.0,-1.0
9990,163641624,95.4,2769.462,True,29.03,True,0.0,0.0,-1.0
9989,163641625,95.39,157.3935,True,1.65,True,-0.00010482180293502896,-1.0,-1.0
9988,163641626,95.38,736.3336,True,7.72,False,-0.00010483279169726245,-1.0,-1.0
9987,163641627,95.37,538.8405,True,5.65,True,-0.00010484378276354178,-1.0,-1.0
9986,163641628,95.37,87.7404,True,0.92,True,0.0,0.0,-1.0
9985,163641629,95.37,1873.0668,True,19.64,True,0.0,0.0,-1.0
9984,163641630,95.36,15.2576,True,0.16,True,-0.0001048547761350882,-1.0,-1.0
9983,163641631,95.36,19.072,True,0.2,True,0.0,0.0,-1.0
9982,163641632,95.36,32.4224,True,0.34,True,0.0,0.0,-1.0
9981,163641633,95.36,227.9104,True,2.39,True,0.0,0.0,-1.0
9980,163641634,95.36,182.1376,True,1.91,True,0.0,0.0,-1.0
9979,163641635,95.35,20.0235,True,0.21,True,-0.00010486577181212375,-1.0,-1.0
9978,163641636,95.35,11.442,True,0.12,True,0.0,0.0,-1.0
9977,163641637,95.34,21.9282,True,0.23,True,-0.0001048767697954256,-1.0,-1.0
9976,163641638,95.34,26.6952,True,0.28,True,0.0,0.0,-1.0
9975,163641639,95.33,18.1127,True,0.19,True,-0.00010488777008610395,-1.0,-1.0
9974,163641640,95.33,152.528,True,1.6,True,0.0,0.0,-1.0
9973,163641641,95.33,47.665,True,0.5,True,0.0,0.0,-1.0
9972,163641642,95.33,999.0584,True,10.48,True,0.0,0.0,-1.0
9971,163641643,95.33,524.315,True,5.5,True,0.0,0.0,-1.0
9970,163641644,95.33,7928.5961,True,83.17,True,0.0,0.0,-1.0
9969,163641645,95.32,1151.4656,True,12.08,True,-0.00010489877268438086,-1.0,-1.0
9968,163641646,95.32,489.9448,True,5.14,True,0.0,0.0,-1.0
9967,163641647,95.32,26.6896,True,0.28,True,0.0,0.0,-1.0
9966,163641648,95.32,44.8004,True,0.47,True,0.0,0.0,-1.0
9965,163641649,95.32,51.4728,True,0.54,True,0.0,0.0,-1.0
9964,163641650,95.32,41.9408,True,0.44,True,0.0,0.0,-1.0
9963,163641651,95.32,293.5856,True,3.08,True,0.0,0.0,-1.0
9962,163641652,95.32,26.6896,True,0.28,True,0.0,0.0,-1.0
9961,163641653,95.32,996.094,True,10.45,True,0.0,0.0,-1.0
9960,163641654,95.32,899.8208,True,9.44,True,0.0,0.0,-1.0
9959,163641655,95.32,149.6524,True,1.57,True,0.0,0.0,-1.0
9958,163641656,95.32,11.4384,True,0.12,True,0.0,0.0,-1.0
9957,163641657,95.32,407.9696,True,4.28,False,0.0,0.0,-1.0
9956,163641658,95.32,73.3964,True,0.77,False,0.0,0.0,-1.0
9955,163641663,95.3,15.248,True,0.16,True,-0.00020981955518251105,-1.0,-1.0
9954,163641664,95.3,99.112,True,1.04,True,0.0,0.0,-1.0
9953,163641665,95.3,20.013,True,0.21,True,0.0,0.0,-1.0
9952,163641666,95.3,25.731,True,0.27,True,0.0,0.0,-1.0
9951,163641667,95.3,840.546,True,8.82,True,0.0,0.0,-1.0
